algorithm,key_size_or_curve,chain_depth,n_total,n_success,failure_rate,handshake_time_ms_mean,handshake_time_ms_median,handshake_time_ms_std,handshake_time_ms_min,handshake_time_ms_max,handshake_time_ms_p95,handshake_time_ms_cv,free_heap_bytes_mean,free_heap_bytes_median,free_heap_bytes_std,free_heap_bytes_min,free_heap_bytes_max,free_heap_bytes_p95,free_heap_bytes_cv,largest_free_block_bytes_mean,largest_free_block_bytes_median,largest_free_block_bytes_std,largest_free_block_bytes_min,largest_free_block_bytes_max,largest_free_block_bytes_p95,largest_free_block_bytes_cv,fragmentation_ratio_mean,fragmentation_ratio_median,fragmentation_ratio_std,fragmentation_ratio_min,fragmentation_ratio_max,fragmentation_ratio_p95,fragmentation_ratio_cv
ECDSA,secp256r1,0,10,10,0.0,2008.2,1795.5,870.1793940204387,1452.0,4395.0,3386.5499999999975,0.4333131132459111,211070.4,211134.0,101.54714285602634,210948.0,211160.0,211158.2,0.000481105559358519,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.476,0.476,0.0,0.476,0.476,0.476,0.0
ECDSA,secp256r1,1,10,10,0.0,2321.1,2221.0,223.49369864345914,2111.0,2652.0,2629.0499999999997,0.09628783707873816,211442.8,211520.0,175.1093626534255,211108.0,211728.0,211643.4,0.0008281642252818517,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.477,0.477,0.0004714045207910321,0.476,0.478,0.47755,0.0009882694356206125
ECDSA,secp256r1,2,10,10,0.0,3112.9,2874.0,543.4526351639732,2813.0,4565.0,4032.199999999999,0.1745808201882403,210250.4,210384.0,194.59542075233367,209952.0,210404.0,210400.4,0.0009255412629528109,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4737,0.474,0.00048304589153964835,0.473,0.474,0.474,0.0010197295578206636
ECDSA,secp256r1,3,10,10,0.0,3961.9,3831.0,486.34702973631215,3507.0,5060.0,4811.599999999999,0.12275600841422352,208967.2,209044.0,150.11462287199075,208612.0,209068.0,209064.4,0.0007183645226236019,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4709,0.471,0.0003162277660168382,0.47,0.471,0.471,0.0006715391081266474
ECDSA,secp384r1,0,10,10,0.0,2409.2,2044.0,1053.089085605877,1850.0,5356.0,4086.549999999997,0.43711152482395693,211018.0,211068.0,101.84519843588329,210864.0,211104.0,211100.4,0.0004826374927062302,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.476,0.476,0.0,0.476,0.476,0.476,0.0
ECDSA,secp384r1,1,10,10,0.0,4167.2,3295.5,2894.580215199127,2886.0,12374.0,8424.349999999991,0.6946103415240754,211463.6,211558.0,150.45353657081867,211156.0,211576.0,211572.4,0.000711486688824075,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4769,0.477,0.0003162277660168382,0.476,0.477,0.477,0.0006630903040822777
ECDSA,secp384r1,2,10,10,0.0,5535.5,4296.0,2906.623594864361,3920.0,13170.0,10715.699999999993,0.5250878140844298,210080.4,210132.0,94.81584490181187,209928.0,210152.0,210150.2,0.00045133122795754327,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4737,0.474,0.00048304589153964835,0.473,0.474,0.474,0.0010197295578206636
ECDSA,secp384r1,3,10,10,0.0,6228.9,5599.0,1906.2709641834472,4974.0,11199.0,9568.199999999997,0.30603653360680816,208557.6,208710.0,255.80687159565426,207980.0,208740.0,208731.0,0.0012265526242901446,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.4697,0.47,0.000674948557710538,0.468,0.47,0.47,0.0014369779810741708
RSA,2048,0,10,10,0.0,4541.2,2611.5,6220.141045203253,1101.0,21773.0,14147.299999999981,1.3697130813888958,209157.6,210350.0,1950.8741744265426,205628.0,210836.0,210697.4,0.009327292789870139,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.47139999999999993,0.4745,0.0052323778320929396,0.462,0.476,0.47555,0.011099655986620577
RSA,2048,1,10,10,0.0,3067.4,1304.5,3603.4079918260095,917.0,10370.0,9898.849999999999,1.1747434282538989,210026.0,209980.0,107.15305771548368,209880.0,210176.0,210176.0,0.0005101894894702736,110580.0,110580.0,0.0,110580.0,110580.0,110580.0,0.0,0.47329999999999994,0.473,0.00048304589153964835,0.473,0.474,0.474,0.001020591361799384
